,index,Open Time,open,high,low,close,Close Time,EMA,RSI,BBL_70_1.6,BBM_70_1.6,BBU_70_1.6,BBB_70_1.6,BBP_70_1.6
378,1427,2021-07-14,32729.12,33114.03,31550.0,32820.02,2021-07-14 23:59:59.999000064,38634.78,42.75,27293.114268481295,38976.618428571426,50660.12258866156,59.95134842957876,0.23263593084032286
379,1428,2021-07-15,32820.03,33185.25,31133.0,31880.0,2021-07-15 23:59:59.999000064,38470.98,43.23,27439.60985196134,38624.96014285714,49810.31043375294,57.91773117448402,0.2405119199716971
380,1429,2021-07-16,31874.49,32249.18,31020.0,31383.87,2021-07-16 23:59:59.999000064,38285.16,39.47,27554.71000846733,38274.686,48994.661991532674,56.01601011975733,0.20148272696434735
381,1430,2021-07-17,31383.86,31955.92,31164.31,31520.07,2021-07-17 23:59:59.999000064,38090.76,37.62,27753.172570910287,37904.23414285714,48055.295714803986,53.561623399056415,0.17883289365140717
382,1431,2021-07-18,31520.07,32435.0,31108.97,31778.56,2021-07-18 23:59:59.999000064,37905.67,38.49,28128.80766796029,37513.570428571424,46898.33318918256,50.033961861776966,0.18067917210828205
383,1432,2021-07-19,31778.57,31899.0,30407.44,30839.65,2021-07-19 23:59:59.999000064,37733.08,40.23,28579.89800977473,37135.538142857135,45691.17827593954,46.07791113821814,0.18693352808615968
384,1433,2021-07-20,30839.65,31063.07,29278.0,29790.35,2021-07-20 23:59:59.999000064,37538.89,36.18,28932.678453372788,36778.731142857134,44624.78383234148,42.66625000742117,0.12152426335238785
385,1434,2021-07-21,29790.34,32858.0,29482.61,32144.51,2021-07-21 23:59:59.999000064,37320.63,32.23,29430.6025402558,36394.7357142857,43358.8688883156,38.27000272073046,0.025827870515580047
386,1435,2021-07-22,32144.51,32591.35,31708.0,32287.83,2021-07-22 23:59:59.999000064,37174.82,46.52,29612.891987418465,36146.26942857142,42679.64686972437,36.14966382112294,0.19374496846264985
387,1436,2021-07-23,32287.58,33650.0,31924.32,33634.09,2021-07-23 23:59:59.999000064,37037.15,47.26,29866.241732445797,35897.9217142857,41929.60169612561,33.60461939744874,0.20071839643717296
388,1437,2021-07-24,33634.1,34500.0,33401.14,34258.14,2021-07-24 23:59:59.999000064,36941.29,53.8,30251.71626035273,35666.34942857141,41080.9825967901,30.36269904248265,0.31233729364163115
389,1438,2021-07-25,34261.51,35398.0,33851.12,35381.02,2021-07-25 23:59:59.999000064,36865.8,56.54,30507.241008298315,35487.756857142835,40468.27270598735,28.068924552733794,0.3768955973278028
390,1439,2021-07-26,35381.02,40550.0,35205.78,37237.6,2021-07-26 23:59:59.999000064,36823.98,61.04,30817.094383132364,35329.95957142855,39842.82475972474,25.54695925520252,0.5056572073883203
391,1440,2021-07-27,37241.33,39542.61,36383.0,39457.87,2021-07-27 23:59:59.999000064,36835.73,67.19,30995.605121521505,35240.006857142835,39484.408592764164,24.088540917868905,0.7357603341433228
392,1441,2021-07-28,39456.61,40900.0,38772.0,40019.56,2021-07-28 23:59:59.999000064,36909.56,72.78,31124.42598979785,35191.53299999998,39258.640010202114,23.11412242372126,1.0243379371751578
393,1442,2021-07-29,40019.57,40640.0,39200.0,40016.48,2021-07-29 23:59:59.999000064,36997.17,74.01,31079.089196226687,35239.366428571404,39399.64366091612,23.61153252160426,1.0745054120749657
394,1443,2021-07-30,40018.49,42316.71,38313.23,42206.37,2021-07-30 23:59:59.999000064,37082.28,74.0,31094.349736037126,35232.12499999998,39369.90026396283,23.48864999748301,1.0783742101324272
395,1444,2021-07-31,42206.36,42448.0,41000.15,41461.83,2021-07-31 23:59:59.999000064,37226.62,78.48,30974.187429123005,35302.7394285714,39631.2914280198,24.522470887600246,1.2974515002139686
396,1445,2021-08-01,41461.84,42599.0,39422.01,39845.44,2021-08-01 23:59:59.999000064,37345.92,73.76,30893.90827440155,35359.92985714284,39825.95143988413,25.260353178212743,1.1831483043473947
397,1446,2021-08-02,39850.27,40480.01,38690.0,39147.82,2021-08-02 23:59:59.999000064,37416.46,64.58,30889.328584345247,35433.770285714265,39978.21198708328,25.650342397806806,0.9859232447580146
398,1447,2021-08-03,39146.86,39780.0,37642.03,38207.05,2021-08-03 23:59:59.999000064,37465.21,60.97,30884.561022640184,35438.5684285714,39992.57583450262,25.700854226716846,0.9071459750591157
399,1448,2021-08-04,38207.04,39969.66,37508.56,39723.18,2021-08-04 23:59:59.999000064,37486.1,56.37,30885.553385518157,35436.887285714256,39988.221185910355,25.686984658107303,0.8043231693203601
400,1449,2021-08-05,39723.17,41350.0,37332.7,40862.46,2021-08-05 23:59:59.999000064,37549.12,61.48,30876.82387769759,35443.762285714256,40010.70069373092,25.77005438193782,0.9685204103884784
401,1450,2021-08-06,40862.46,43392.43,39853.86,42836.87,2021-08-06 23:59:59.999000064,37642.45,64.86,30831.701795416695,35477.08328571425,40122.46477601181,26.188068804225168,1.0796484880234012
402,1451,2021-08-07,42836.87,44700.0,42446.41,44572.54,2021-08-07 23:59:59.999000064,37788.77,69.85,30728.567036383036,35579.5844285714,40430.60182075976,27.268544420057136,1.2480168575683814
403,1452,2021-08-08,44572.54,45310.0,43261.0,43794.37,2021-08-08 23:59:59.999000064,37979.87,73.47,30583.552812582235,35721.97571428568,40860.398615989136,28.768973714119223,1.361214078232082
404,1453,2021-08-09,43794.36,46454.15,42779.0,46253.4,2021-08-09 23:59:59.999000064,38143.66,69.4,30476.402220176144,35838.44857142854,41200.49492268093,29.923428970790745,1.2418726832446374
405,1454,2021-08-10,46248.87,46700.0,44589.46,45584.99,2021-08-10 23:59:59.999000064,38371.97,74.3,30257.351779267225,35966.94928571426,41676.5467921613,31.749134245949726,1.4004067889790677
406,1455,2021-08-11,45585.0,46743.47,45341.14,45511.0,2021-08-11 23:59:59.999000064,38575.16,70.94,30100.45958027182,36093.9514285714,42087.44327687099,33.210505423106596,1.2917795511911228
407,1456,2021-08-12,45510.67,46218.12,43770.0,44399.0,2021-08-12 23:59:59.999000064,38770.52,70.56,29958.215607863367,36207.4084285714,42456.601249279425,34.51886280696504,1.2443570584508343
408,1457,2021-08-13,44400.06,47886.0,44217.39,47800.0,2021-08-13 23:59:59.999000064,38929.1,64.77,29865.78273912595,36281.02671428569,42696.27068944543,35.3641809846232,1.1327922458718447
409,1458,2021-08-14,47799.99,48144.0,45971.03,47068.51,2021-08-14 23:59:59.999000064,39178.98,72.34,29660.288756249556,36437.75299999998,43215.21724375041,37.20023154968108,1.3382365875612885
410,1459,2021-08-15,47068.5,47372.27,45500.0,46973.82,2021-08-15 23:59:59.999000064,39401.22,68.87,29534.105537963915,36602.787714285696,43671.46989060748,38.62373670278095,1.2402873707330961
411,1460,2021-08-16,46973.82,48053.83,45660.0,45901.29,2021-08-16 23:59:59.999000064,39614.54,68.41,29426.884009216054,36762.46642857141,44098.048847926766,39.90799928295462,1.1960151892292388
412,1461,2021-08-17,45901.3,47160.0,44376.0,44695.95,2021-08-17 23:59:59.999000064,39791.63,63.15,29428.17111782204,36938.81414285712,44449.45716789219,40.665317494971156,1.096652365667521
413,1462,2021-08-18,44695.95,46000.0,44203.28,44705.29,2021-08-18 23:59:59.999000064,39929.78,57.71,29479.402015816402,37100.45914285712,44721.516269897846,41.0833574738009,0.9983226559339691
414,1463,2021-08-19,44699.37,47033.0,43927.7,46760.62,2021-08-19 23:59:59.999000064,40064.13,57.72,29448.533735815905,37204.90657142856,44961.27940704122,41.69542971823587,0.9831165022239078
415,1464,2021-08-20,46760.62,49382.99,46622.99,49322.47,2021-08-20 23:59:59.999000064,40252.77,64.02,29384.18378699701,37348.94642857141,45313.709070145815,42.65053450333191,1.090832018163455
416,1465,2021-08-21,49322.47,49757.04,48222.0,48821.87,2021-08-21 23:59:59.999000064,40508.25,70.07,29237.401913747024,37520.239142857135,45803.07637196725,44.15130296783807,1.212450971248343
417,1466,2021-08-22,48821.88,49500.0,48050.0,49239.22,2021-08-22 23:59:59.999000064,40742.44,67.65,29163.43447267285,37709.89285714284,46256.351241612836,45.32740740922662,1.1500930937105511
418,1467,2021-08-23,49239.22,50500.0,49029.0,49488.85,2021-08-23 23:59:59.999000064,40981.78,68.64,29036.24541728,37855.873714285706,46675.50201129141,46.59582480420964,1.1453416120483773
419,1468,2021-08-24,49488.85,49860.0,47600.0,47674.01,2021-08-24 23:59:59.999000064,41221.42,69.25,28904.73564611853,37984.053285714275,47063.370925310024,47.805944096073915,1.1335716609424609
420,1469,2021-08-25,47674.01,49264.3,47126.28,48973.32,2021-08-25 23:59:59.999000064,41403.18,59.96,28835.94405432926,38091.62771428571,47347.311374242156,48.59694486872893,1.0176485410349139
421,1470,2021-08-26,48973.32,49352.84,46250.0,46843.87,2021-08-26 23:59:59.999000064,41616.43,63.76,28759.904719118313,38243.403714285705,47726.9027094531,49.595475685261036,1.0657150536517193
