,index,Open Time,open,high,low,close,Close Time,EMA,RSI
1009,1907,2022-11-06,21299.37,21365.27,20886.13,20905.58,2022-11-06 23:59:59.999000064,20371.8,59.94
1010,1908,2022-11-07,20905.58,21069.77,20384.89,20591.13,2022-11-07 23:59:59.999000064,20377.98,54.76
1011,1909,2022-11-08,20590.67,20700.88,17166.83,18547.23,2022-11-08 23:59:59.999000064,20326.41,33.95
1012,1910,2022-11-09,18545.38,18587.76,15588.0,15922.81,2022-11-09 23:59:59.999000064,20202.37,22.16
1013,1911,2022-11-10,15922.68,18199.0,15754.26,17601.15,2022-11-10 23:59:59.999000064,20129.09,37.34
1014,1912,2022-11-11,17602.45,17695.0,16361.6,17070.31,2022-11-11 23:59:59.999000064,20042.93,34.99
1015,1913,2022-11-12,17069.98,17119.1,16631.39,16812.08,2022-11-12 23:59:59.999000064,19951.92,33.85
1016,1914,2022-11-13,16813.16,16954.28,16229.0,16329.85,2022-11-13 23:59:59.999000064,19849.89,31.76
1017,1915,2022-11-14,16331.78,17190.0,15815.21,16619.46,2022-11-14 23:59:59.999000064,19758.89,34.42
1018,1916,2022-11-15,16617.72,17134.69,16527.72,16900.57,2022-11-15 23:59:59.999000064,19678.38,37.02
1019,1917,2022-11-16,16900.57,17015.92,16378.61,16662.76,2022-11-16 23:59:59.999000064,19593.43,35.71
1020,1918,2022-11-17,16661.61,16751.0,16410.74,16692.56,2022-11-17 23:59:59.999000064,19511.71,36.02
1021,1919,2022-11-18,16692.56,17011.0,16546.04,16700.45,2022-11-18 23:59:59.999000064,19432.52,36.11
1022,1920,2022-11-19,16699.43,16822.41,16553.53,16700.68,2022-11-19 23:59:59.999000064,19355.57,36.11
1023,1921,2022-11-20,16700.68,16753.33,16180.0,16280.23,2022-11-20 23:59:59.999000064,19268.94,33.2
1024,1922,2022-11-21,16279.5,16319.0,15476.0,15781.29,2022-11-21 23:59:59.999000064,19170.7,30.06
1025,1923,2022-11-22,15781.29,16315.0,15616.63,16226.94,2022-11-22 23:59:59.999000064,19087.77,35.96
1026,1924,2022-11-23,16227.96,16706.0,16160.2,16603.11,2022-11-23 23:59:59.999000064,19017.78,40.58
1027,1925,2022-11-24,16603.11,16812.63,16458.05,16598.95,2022-11-24 23:59:59.999000064,18949.65,40.54
1028,1926,2022-11-25,16599.55,16666.0,16342.81,16522.14,2022-11-25 23:59:59.999000064,18881.27,39.84
1029,1927,2022-11-26,16521.35,16701.99,16385.0,16458.57,2022-11-26 23:59:59.999000064,18813.02,39.23
1030,1928,2022-11-27,16457.61,16600.0,16401.0,16428.78,2022-11-27 23:59:59.999000064,18745.86,38.93
1031,1929,2022-11-28,16428.77,16487.04,15995.27,16212.91,2022-11-28 23:59:59.999000064,18674.51,36.68
1032,1930,2022-11-29,16212.18,16548.71,16100.0,16442.53,2022-11-29 23:59:59.999000064,18611.64,40.66
1033,1931,2022-11-30,16442.91,17249.0,16428.3,17163.64,2022-11-30 23:59:59.999000064,18570.85,51.17
1034,1932,2022-12-01,17165.53,17324.0,16855.01,16977.37,2022-12-01 23:59:59.999000064,18525.96,48.74
1035,1933,2022-12-02,16978.0,17105.73,16787.85,17092.74,2022-12-02 23:59:59.999000064,18485.59,50.34
1036,1934,2022-12-03,17092.13,17188.98,16858.74,16885.2,2022-12-03 23:59:59.999000064,18440.51,47.44
1037,1935,2022-12-04,16885.2,17202.84,16878.25,17105.7,2022-12-04 23:59:59.999000064,18402.91,50.73
1038,1936,2022-12-05,17106.65,17424.25,16867.0,16966.35,2022-12-05 23:59:59.999000064,18362.44,48.63
1039,1937,2022-12-06,16966.35,17107.01,16906.37,17088.96,2022-12-06 23:59:59.999000064,18326.57,50.59
1040,1938,2022-12-07,17088.96,17142.21,16678.83,16836.64,2022-12-07 23:59:59.999000064,18284.6,46.6
1041,1939,2022-12-08,16836.64,17299.0,16733.49,17224.1,2022-12-08 23:59:59.999000064,18254.73,52.83
1042,1940,2022-12-09,17224.1,17360.0,17058.21,17128.56,2022-12-09 23:59:59.999000064,18223.0,51.22
1043,1941,2022-12-10,17128.56,17227.72,17092.0,17127.49,2022-12-10 23:59:59.999000064,18192.14,51.2
1044,1942,2022-12-11,17127.49,17270.99,17071.0,17085.05,2022-12-11 23:59:59.999000064,18160.96,50.39
1045,1943,2022-12-12,17085.05,17241.89,16871.85,17209.83,2022-12-12 23:59:59.999000064,18134.17,52.79
1046,1944,2022-12-13,17208.93,18000.0,17080.14,17774.7,2022-12-13 23:59:59.999000064,18124.04,61.89
1047,1945,2022-12-14,17775.82,18387.95,17660.94,17803.15,2022-12-14 23:59:59.999000064,18115.0,62.29
1048,1946,2022-12-15,17804.01,17854.82,17275.51,17356.34,2022-12-15 23:59:59.999000064,18093.63,52.81
