,klines_open_time,klines_open_price,klines_high_price,klines_low_price,klines_close_price,klines_EMA,RSI,space 1,order_entry_time,order_entry_direction,order_price,order_buy,order_quantity,order_profit,order_liquidation,space 2,Long Result,Short Result,Property
0,2023-02-07 00:00:00,22762.52,23350.25,22745.78,23240.46,20191.07,62.53,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-02-08 00:00:00,23242.42,23452.0,22665.85,22963.0,20269.15,58.15,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-02-09 00:00:00,22961.85,23011.39,21688.0,21796.35,20312.17,44.01,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-02-10 00:00:00,21797.83,21938.16,21451.0,21625.19,20349.16,42.37,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-02-11 00:00:00,21625.19,21906.32,21599.78,21862.55,20391.79,45.46,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-02-12 00:00:00,21862.02,22090.0,21630.0,21783.54,20431.0,44.59,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-02-13 00:00:00,21782.37,21894.99,21351.07,21773.97,20468.83,44.48,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-02-14 00:00:00,21774.63,22319.08,21532.77,22199.84,20517.59,50.52,,,,,962500.0,,,,,,,1726249.9999999958
0,2023-02-15 00:00:00,22199.84,24380.0,22047.28,24324.05,20624.81,68.93,,,,,965000.0,,,,,,,1736249.9999999958
0,2023-02-16 00:00:00,24322.87,25250.0,23505.25,23517.72,20706.3,59.73,,,,,965000.0,,,,,,,1736249.9999999958
0,2023-02-17 00:00:00,23517.72,25021.11,23339.37,24569.97,20815.14,66.16,,,,,965000.0,,,,,,,1736249.9999999958
0,2023-02-18 00:00:00,24568.24,24877.0,24430.0,24631.95,20922.65,66.51,,2023-02-18 00:00:00,多頭進場,24568.24,965000.0,981.959,25059.6048,23585.51,,"Long Win : 0
Long Lose : 0
Uncertain : 0
Nothing : 1",,771249.9999999958
0,2023-02-19 00:00:00,24632.05,25192.0,24192.57,24271.76,21016.99,62.48,,,,,965000.0,,,,,"Long Win : 1
Long Lose : 0
Uncertain : 0
Nothing : 0",,2218749.9999999963
0,2023-02-20 00:00:00,24272.51,25121.23,23840.83,24842.2,21124.75,66.03,,,,,965000.0,,,,,,,2218749.9999999963
